iter	Passed	Remaining
0	767	766561
1	1415	706444
2	2030	674666
3	2661	662728
4	3282	653213
5	3995	661934
6	4680	663933
7	5311	658598
8	5937	653801
9	6610	654442
10	7242	651199
11	7743	637514
12	8278	628549
13	8815	620829
14	9407	617756
15	9953	612124
16	10475	605722
17	10957	597774
18	11598	598835
19	12132	594491
20	12596	587230
21	13108	582711
22	13809	586606
23	14376	584649
24	14933	582392
25	15546	582377
26	16158	582293
27	16651	578047
28	17167	574802
29	17634	570181
30	18202	568960
31	18762	567558
32	19300	565551
33	19767	561631
34	20317	560185
35	20984	561923
36	21541	560669
37	22217	562450
38	22729	560078
39	23353	560477
40	23876	558477
41	24476	558305
42	25015	556745
43	25588	555957
44	26058	553016
45	26558	550797
46	27049	548473
47	27607	547552
48	28118	545735
49	28643	544232
50	29148	542384
51	29751	542384
52	30358	542441
53	30844	540345
54	31365	538912
55	31882	537439
56	32562	538705
57	33023	536347
58	33505	534384
59	34068	533742
60	34642	533263
61	35101	531053
62	35562	528923
63	35987	526316
64	36500	525040
65	37062	524493
66	37618	523858
67	38184	523348
68	38645	521431
69	39206	520885
70	39702	519485
71	40181	517891
72	40665	516395
73	41148	514910
74	41669	513919
75	42150	512456
76	42663	511413
77	43215	510827
78	43832	511006
79	44324	509728
80	44811	508413
81	45310	507252
82	45808	506104
83	46446	506488
84	46920	505081
85	47487	504689
86	48139	505189
87	48884	506625
88	49627	507983
89	50152	507096
90	50801	507452
91	51376	507068
92	51917	506338
93	52383	504885
94	53033	505214
95	53631	505030
96	54298	505484
97	54747	503903
98	55178	502184
99	55620	500588
100	56063	499018
101	56488	497321
102	56859	495175
103	57265	493364
104	57679	491646
105	58140	490357
106	58489	488142
107	58847	486039
108	59222	484104
109	59599	482217
110	60025	480741
111	60389	478803
112	60778	477087
113	61122	475038
114	61486	473181
115	61838	471255
116	62239	469720
117	62628	468119
118	63008	466476
119	63372	464730
120	63769	463248
121	64156	461713
122	64566	460363
123	64939	458764
124	65320	457241
125	65688	455651
126	66038	453950
127	66399	452349
128	66813	451123
129	67223	449882
130	67570	448236
131	67939	446755
132	68300	445238
133	68674	443818
134	69088	442678
135	69462	441290
136	69834	439904
137	70191	438439
138	70556	437041
139	70961	435908
140	71380	434863
141	71738	433464
142	72118	432208
143	72487	430897
144	72833	429467
145	73210	428229
146	73667	427474
147	74064	426372
148	74459	425269
149	74827	424023
150	75203	422835
151	75591	421722
152	75998	420723
153	76383	419612
154	76766	418502
155	77131	417300
156	77517	416225
157	77929	415295
158	78306	414187
159	78669	413013
160	79023	411803
161	79422	410839
162	79801	409777
163	80225	408955
164	80662	408201
165	81073	407319
166	81553	406792
167	81996	406077
168	82377	405061
169	82750	404017
170	83112	402925
171	83510	402017
172	83887	401011
173	84270	400040
174	84699	399299
175	85053	398204
176	85416	397164
177	85800	396224
178	86159	395179
179	86573	394390
180	86963	393497
181	87334	392523
182	87712	391592
183	88061	390533
184	88410	389484
185	88807	388653
186	89220	387895
187	89608	387031
188	90067	386478
189	90449	385600
190	90799	384592
191	91156	383615
192	91553	382815
193	91932	381944
194	92263	380881
195	92645	380035
196	93021	379168
197	93379	378236
198	93780	377477
199	94156	376625
200	94562	375897
201	94953	375114
202	95296	374145
203	95690	373381
204	96165	372935
205	96623	372424
206	96968	371479
207	97342	370649
208	97723	369852
209	98133	369168
210	98529	368436
211	98895	367594
212	99308	366930
213	99697	366176
214	100077	365398
215	100498	364772
216	100887	364032
217	101230	363127
218	101589	362289
219	101960	361496
220	102301	360601
221	102738	360046
222	103144	359385
223	103533	358668
224	103893	357856
225	104269	357100
226	104636	356316
227	104998	355522
228	105363	354738
229	105744	354014
230	106102	353215
231	106444	352369
232	106803	351581
233	107230	351018
234	107615	350322
235	107984	349576
236	108327	348751
237	108694	348003
238	109053	347236
239	109519	346811
240	109908	346144
241	110268	345386
242	110642	344676
243	111071	344139
244	111526	343683
245	111975	343209
246	112393	342640
247	112834	342142
248	113217	341471
249	113634	340902
250	114127	340562
251	114557	340034
252	115017	339596
253	115463	339118
254	115842	338440
255	116241	337827
256	116573	337019
257	116931	336290
258	117299	335593
259	117643	334831
260	118025	334180
261	118432	333600
262	118787	332874
263	119170	332232
264	119567	331631
265	119994	331113
266	120412	330570
267	120893	330202
268	121286	329592
269	121720	329096
270	122162	328620
271	122601	328138
272	123053	327693
273	123442	327076
274	123844	326498
275	124265	325972
276	124695	325469
277	125097	324892
278	125494	324305
279	125843	323596
280	126213	322943
281	126568	322256
282	126934	321597
283	127314	320975
284	127657	320263
285	128069	319725
286	128467	319153
287	128849	318543
288	129200	317859
289	129609	317318
290	130017	316778
291	130379	316124
292	130801	315619
293	131246	315170
294	131675	314681
295	132190	314398
296	132619	313910
297	133037	313398
298	133420	312801
299	133793	312184
300	134216	311684
301	134610	311119
302	134972	310482
303	135311	309791
304	135670	309151
305	136073	308611
306	136486	308095
307	136811	307380
308	137160	306724
309	137511	306074
310	137858	305417
311	138217	304788
312	138616	304247
313	138999	303674
314	139410	303162
315	139820	302648
316	140139	301941
317	140530	301388
318	141009	301025
319	141390	300454
320	141961	300287
321	142338	299706
322	142749	299199
323	143237	298853
324	143643	298336
325	144010	297739
326	144387	297164
327	144723	296507
328	145121	295977
329	145532	295475
330	145931	294949
331	146253	294270
332	146584	293608
333	146956	293032
334	147308	292417
335	147729	291941
336	148117	291400
337	148477	290804
338	148861	290257
